#python metaPathwayMap/scripts/metaPathwayMap.py -pwy static/databases/PlantCyc/pathways.dat.cid.all -canopus static/tmp/anthocyanin_canopus_summary_filtered.tsv -jaccard 0.7 -log static/tmp/log2.out
#ExptID	CANOPUS_MostSpecific	MetaboliteMatch	Jaccard	MetabolitesPathway	Network_Component
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-431|18388	0.298507	PWY-6787|flavonoid_biosynthesis_(in_equisetum)	Component-12
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-431|18388	0.298507	PWY-6010|apigenin_glycosides_biosynthesis	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-431|58470	0.279412	PWY-5119|acacetin_biosynthesis	Component-7
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-431|58470	0.279412	PWY-2083|isoflavonoid_biosynthesis_II	Component-82
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-431|58470	0.279412	PWY-5060|luteolin_biosynthesis	Component-7
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-431|58470	0.279412	PWY-7995|tricin_biosynthesis	Component-7
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-431|58470	0.279412	PWY-7325|salvigenin_biosynthesis	Component-7
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-431|58470	0.279412	PWY-6015|vitexin_and_derivatives_biosynthesis	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-431|58470	0.279412	PWY-6787|flavonoid_biosynthesis_(in_equisetum)	Component-12
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-431|58470	0.279412	PWY-6010|apigenin_glycosides_biosynthesis	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-1095|57284	0.253333	PWY-5119|acacetin_biosynthesis	Component-7
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-8633|66904	0.454545	PWY-1901|aurone_biosynthesis	Component-62
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-8635|66907	0.400000	PWY-1901|aurone_biosynthesis	Component-62
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-8632|66906	0.441558	PWY-1901|aurone_biosynthesis	Component-62
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-8634|66905	0.438356	PWY-1901|aurone_biosynthesis	Component-62
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD1F-453|30200	0.478261	PWY-7143|kaempferol_gentiobioside_biosynthesis	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD1F-453|30200	0.478261	PWY-6360|flavonol_glucosylation_I	Component-117
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD1F-453|30200	0.478261	PWY-7168|flavonol_acylglucoside_biosynthesis_I	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD1F-453|30200	0.478261	PWY-5320|kaempferol_glycoside_biosynthesis_(Arabidopsis)	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD1F-453|30200	0.478261	PWY-5348|kaempferol_triglucoside_biosynthesis	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD1F-90|58573	0.294118	PWY-7143|kaempferol_gentiobioside_biosynthesis	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD1F-90|58573	0.294118	PWY-6360|flavonol_glucosylation_I	Component-117
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD1F-90|58573	0.294118	PWY-3101|flavonol_biosynthesis	Component-7
